District,State,Region,Season,CurrentCrop,RecommendedCrop,TopCropOptions,Latitude,Longitude,ConsensusRisk,RiskLevel,RecommendationSummary
Bhagalpur,Bihar,Humid East,Kharif,Soybean,Rice,"Rice (85.6%), Maize (10.5%), Soybean (1.8%)",25.2425,86.9842,0.5414141369376952,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Bhavnagar,Gujarat,Semi Arid West,Kharif,Rice,Cotton,"Cotton (61.9%), Maize (22.8%), Soybean (7.1%)",21.7645,72.1519,0.8262575677904146,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Cotton for this district-season profile.
Bhopal,Madhya Pradesh,Central Plateau,Kharif,Soybean,Cotton,"Cotton (48.9%), Soybean (32.2%), Rice (8.9%)",23.2599,77.4126,0.5970919304056339,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Cotton for this district-season profile.
Bhubaneswar,Odisha,Coastal Delta,Zaid,Millet,Groundnut,"Groundnut (73.2%), Millet (20.9%), Wheat (3.1%)",20.2961,85.8245,0.7396961948066568,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Groundnut for this district-season profile.
Bilaspur,Chhattisgarh,Central Plateau,Kharif,Maize,Rice,"Rice (78.8%), Maize (9.1%), Soybean (6.6%)",22.0797,82.1391,0.7281459237554324,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Chandigarh,Punjab,Northwest Irrigated,Kharif,Cotton,Soybean,"Soybean (49.9%), Maize (41.6%), Cotton (3.3%)",30.7333,76.7794,0.5431166318085234,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Soybean for this district-season profile.
Chennai,Tamil Nadu,Coastal Delta,Rabi,Mustard,Wheat,"Wheat (85.9%), Mustard (6.2%), Chickpea (4.6%)",13.0827,80.2707,0.5971641060459173,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Wheat for this district-season profile.
Coimbatore,Tamil Nadu,Southern Plateau,Kharif,Rice,Maize,"Maize (59.2%), Soybean (13.1%), Rice (5.8%)",11.0168,76.9558,0.6872715316200543,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Pest pressure is rising; activate preventive scouting and threshold-based control. Better fit detected: consider Maize for this district-season profile.
Cuttack,Odisha,Coastal Delta,Zaid,Millet,Groundnut,"Groundnut (64.3%), Millet (31.6%), Wheat (1.3%)",20.4625,85.883,0.7056108007077557,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Groundnut for this district-season profile.
Dehradun,Uttarakhand,Himalayan Foothills,Kharif,Rice,Maize,"Maize (46.1%), Soybean (22.1%), Rice (19.5%)",30.3165,78.0322,0.6737417674774684,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Pest pressure is rising; activate preventive scouting and threshold-based control. Better fit detected: consider Maize for this district-season profile.
Delhi,Delhi,Indo Gangetic Plains,Zaid,Groundnut,Millet,"Millet (78.6%), Groundnut (18.9%), Mustard (0.9%)",28.6139,77.209,0.736939932906354,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Millet for this district-season profile.
Dhanbad,Jharkhand,Humid East,Rabi,Wheat,Mustard,"Mustard (42.4%), Wheat (29.4%), Chickpea (25.1%)",23.7957,86.4304,0.5800590424326516,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Mustard for this district-season profile.
Dharamshala,Himachal Pradesh,Himalayan Foothills,Kharif,Rice,Maize,"Maize (37.8%), Soybean (29.3%), Rice (26.8%)",32.219,76.3234,0.7069463697950117,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Maize for this district-season profile.
Dibrugarh,Assam,Humid East,Zaid,Millet,Groundnut,"Groundnut (73.4%), Millet (22.1%), Rice (1.6%)",27.4728,94.912,0.711840162812225,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Groundnut for this district-season profile.
Durgapur,West Bengal,Humid East,Zaid,Millet,Groundnut,"Groundnut (52.8%), Millet (42.2%), Mustard (1.3%)",23.5204,87.3119,0.6121937877258509,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Groundnut for this district-season profile.
Gangtok,Sikkim,Humid East,Kharif,Cotton,Maize,"Maize (61.5%), Soybean (21.3%), Rice (14.3%)",27.3389,88.6065,0.8058426070939952,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Pest pressure is rising; activate preventive scouting and threshold-based control. Better fit detected: consider Maize for this district-season profile.
Gaya,Bihar,Indo Gangetic Plains,Kharif,Cotton,Rice,"Rice (74.7%), Maize (17.6%), Soybean (3.9%)",24.7914,85.0002,0.7617056872082824,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Gorakhpur,Uttar Pradesh,Indo Gangetic Plains,Kharif,Soybean,Rice,"Rice (63.5%), Maize (23.0%), Soybean (4.1%)",26.7606,83.3732,0.6923651624329477,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Guntur,Andhra Pradesh,Coastal Delta,Kharif,Soybean,Cotton,"Cotton (56.7%), Soybean (14.0%), Rice (13.3%)",16.3067,80.4365,0.5671553989633141,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Better fit detected: consider Cotton for this district-season profile.
Gurugram,Haryana,Northwest Dryland,Kharif,Rice,Cotton,"Cotton (56.4%), Maize (18.6%), Soybean (14.9%)",28.4595,77.0266,0.8813382165323761,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Cotton for this district-season profile.
Guwahati,Assam,Humid East,Kharif,Cotton,Rice,"Rice (57.8%), Maize (30.5%), Soybean (3.1%)",26.1445,91.7362,0.6128311067265109,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Gwalior,Madhya Pradesh,Central Plateau,Kharif,Cotton,Maize,"Maize (51.6%), Cotton (18.0%), Soybean (11.6%)",26.2183,78.1828,0.6356789158910638,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Maize for this district-season profile.
Haridwar,Uttarakhand,Himalayan Foothills,Zaid,Groundnut,Groundnut,"Groundnut (57.6%), Millet (36.8%), Wheat (2.0%)",29.9457,78.1642,0.5799157056650945,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices.
Hisar,Haryana,Northwest Dryland,Kharif,Rice,Cotton,"Cotton (59.1%), Maize (19.5%), Soybean (14.3%)",29.1492,75.7217,0.8903911825430183,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Cotton for this district-season profile.
Hubballi,Karnataka,Southern Plateau,Kharif,Rice,Soybean,"Soybean (47.2%), Cotton (24.2%), Maize (16.5%)",15.3647,75.124,0.6665873714257489,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Soybean for this district-season profile.
Hyderabad,Telangana,Deccan Plateau,Kharif,Rice,Soybean,"Soybean (33.9%), Maize (30.7%), Cotton (23.9%)",17.385,78.4867,0.8216011689592091,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Soybean for this district-season profile.
Imphal,Manipur,Humid East,Kharif,Cotton,Rice,"Rice (77.5%), Maize (12.3%), Soybean (4.9%)",24.817,93.9368,0.8295339271502314,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Indore,Madhya Pradesh,Central Plateau,Kharif,Rice,Soybean,"Soybean (41.7%), Cotton (30.4%), Maize (8.2%)",22.7196,75.8577,0.6375237651118721,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Soybean for this district-season profile.
Itanagar,Arunachal Pradesh,Humid East,Kharif,Cotton,Rice,"Rice (69.7%), Maize (22.6%), Soybean (4.1%)",27.0844,93.6053,0.7751455924706401,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Jabalpur,Madhya Pradesh,Central Plateau,Kharif,Maize,Soybean,"Soybean (39.1%), Cotton (36.3%), Rice (13.4%)",23.1815,79.9864,0.7560634605582065,High,High alert: prioritize crop protection and weekly field scouting. Better fit detected: consider Soybean for this district-season profile.
Jaipur,Rajasthan,Northwest Dryland,Kharif,Rice,Cotton,"Cotton (68.1%), Maize (15.2%), Soybean (11.2%)",26.9124,75.7873,0.7898734060263106,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Cotton for this district-season profile.
Jalandhar,Punjab,Northwest Irrigated,Kharif,Rice,Maize,"Maize (64.7%), Soybean (25.8%), Cotton (3.9%)",31.326,75.5762,0.5735732802551812,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Maize for this district-season profile.
Jammu,Jammu and Kashmir,Himalayan Foothills,Kharif,Rice,Soybean,"Soybean (48.6%), Maize (35.7%), Cotton (5.5%)",32.7266,74.857,0.7588346192064612,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Soybean for this district-season profile.
Jamshedpur,Jharkhand,Humid East,Rabi,Chickpea,Wheat,"Wheat (51.0%), Chickpea (25.0%), Mustard (20.1%)",22.8046,86.2029,0.6926859355635402,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Wheat for this district-season profile.
Jodhpur,Rajasthan,Northwest Dryland,Kharif,Rice,Cotton,"Cotton (44.1%), Soybean (20.9%), Maize (12.3%)",26.2389,73.0243,0.9582786123469628,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Cotton for this district-season profile.
Kanpur,Uttar Pradesh,Indo Gangetic Plains,Kharif,Soybean,Rice,"Rice (51.7%), Maize (41.7%), Soybean (3.4%)",26.4499,80.3319,0.5918469141510788,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Rice for this district-season profile.
Karimnagar,Telangana,Deccan Plateau,Rabi,Mustard,Chickpea,"Chickpea (82.5%), Mustard (8.1%), Wheat (5.4%)",18.4386,79.1288,0.6957035822833768,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Chickpea for this district-season profile.
Karnal,Haryana,Northwest Irrigated,Kharif,Rice,Maize,"Maize (50.2%), Soybean (32.4%), Cotton (4.0%)",29.6857,76.9905,0.5279188790993513,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Maize for this district-season profile.
Kochi,Kerala,Coastal Delta,Kharif,Cotton,Rice,"Rice (92.1%), Maize (3.7%), Soybean (2.0%)",9.9312,76.2673,0.8407325846209603,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Pest pressure is rising; activate preventive scouting and threshold-based control. Better fit detected: consider Rice for this district-season profile.
Kohima,Nagaland,Humid East,Kharif,Cotton,Maize,"Maize (49.4%), Rice (37.3%), Soybean (9.7%)",25.6751,94.1086,0.8172553596624575,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Maize for this district-season profile.
Kolhapur,Maharashtra,Coastal Delta,Zaid,Millet,Groundnut,"Groundnut (58.4%), Millet (37.4%), Mustard (0.8%)",16.705,74.2433,0.6771910097750047,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Groundnut for this district-season profile.
Kolkata,West Bengal,Humid East,Kharif,Soybean,Rice,"Rice (86.9%), Maize (8.6%), Soybean (1.6%)",22.5726,88.3639,0.722486226602454,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Pest pressure is rising; activate preventive scouting and threshold-based control. Better fit detected: consider Rice for this district-season profile.
Kota,Rajasthan,Central Plateau,Kharif,Rice,Cotton,"Cotton (50.9%), Rice (19.0%), Soybean (18.0%)",25.2138,75.8648,0.6823427559812603,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Cotton for this district-season profile.
Kozhikode,Kerala,Coastal Delta,Kharif,Cotton,Rice,"Rice (91.5%), Maize (4.7%), Soybean (1.4%)",11.2588,75.7804,0.8203918748697928,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Leh,Ladakh,Himalayan Foothills,Kharif,Rice,Maize,"Maize (43.0%), Cotton (24.4%), Soybean (21.3%)",34.1526,77.577,0.9569619359102568,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Cold stress is possible; use tolerant varieties or adjust sowing windows. Better fit detected: consider Maize for this district-season profile.
Lucknow,Uttar Pradesh,Indo Gangetic Plains,Kharif,Cotton,Rice,"Rice (57.1%), Maize (31.1%), Soybean (5.0%)",26.8467,80.9462,0.5255595292676687,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Ludhiana,Punjab,Northwest Irrigated,Zaid,Groundnut,Millet,"Millet (55.0%), Groundnut (42.3%), Mustard (0.8%)",30.901,75.8573,0.6690198504276325,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Millet for this district-season profile.
Madurai,Tamil Nadu,Southern Plateau,Zaid,Groundnut,Millet,"Millet (75.0%), Groundnut (21.9%), Chickpea (1.1%)",9.9252,78.1198,0.5087742460429892,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Millet for this district-season profile.
Mangaluru,Karnataka,Coastal Delta,Rabi,Mustard,Wheat,"Wheat (38.9%), Mustard (38.6%), Chickpea (11.9%)",12.9141,74.856,0.761369674407336,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Wheat for this district-season profile.
Meerut,Uttar Pradesh,Indo Gangetic Plains,Zaid,Groundnut,Millet,"Millet (71.1%), Groundnut (25.2%), Mustard (1.1%)",28.9845,77.7064,0.7043528301480869,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Millet for this district-season profile.
Mumbai,Maharashtra,Coastal Delta,Kharif,Soybean,Rice,"Rice (93.6%), Maize (3.0%), Soybean (1.6%)",19.076,72.8777,0.8450614963617978,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Muzaffarpur,Bihar,Indo Gangetic Plains,Zaid,Millet,Groundnut,"Groundnut (54.7%), Millet (37.8%), Wheat (2.4%)",26.1209,85.3647,0.7702202604759698,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Groundnut for this district-season profile.
Mysuru,Karnataka,Southern Plateau,Kharif,Rice,Maize,"Maize (38.9%), Soybean (33.3%), Cotton (13.9%)",12.2958,76.6394,0.6452182430128124,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Maize for this district-season profile.
Nagpur,Maharashtra,Western Plateau,Zaid,Groundnut,Millet,"Millet (55.3%), Groundnut (41.5%), Chickpea (1.8%)",21.1458,79.0882,0.6594354031880849,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Millet for this district-season profile.
Nashik,Maharashtra,Western Plateau,Kharif,Maize,Cotton,"Cotton (39.6%), Soybean (35.5%), Maize (12.5%)",19.9975,73.7898,0.6073637339123312,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Cotton for this district-season profile.
Nizamabad,Telangana,Deccan Plateau,Rabi,Mustard,Chickpea,"Chickpea (85.4%), Mustard (6.5%), Wheat (4.9%)",18.6725,78.0941,0.6656558575875078,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Chickpea for this district-season profile.
Panaji,Goa,Coastal Delta,Kharif,Soybean,Rice,"Rice (92.3%), Maize (2.9%), Soybean (2.0%)",15.4909,73.8278,0.8884856866355263,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Rice for this district-season profile.
Patiala,Punjab,Northwest Irrigated,Kharif,Rice,Maize,"Maize (55.5%), Soybean (36.9%), Cotton (3.0%)",30.3398,76.3869,0.6329724802523558,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Maize for this district-season profile.
Patna,Bihar,Indo Gangetic Plains,Kharif,Soybean,Rice,"Rice (75.0%), Maize (14.7%), Soybean (5.4%)",25.5941,85.1376,0.7414315689909919,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Prayagraj,Uttar Pradesh,Indo Gangetic Plains,Kharif,Rice,Rice,"Rice (59.3%), Maize (34.6%), Soybean (2.7%)",25.4358,81.8463,0.6514421025872069,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat.
Puducherry,Puducherry,Coastal Delta,Kharif,Cotton,Rice,"Rice (92.7%), Maize (2.9%), Soybean (1.4%)",11.9416,79.8083,0.7303796195165877,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Pest pressure is rising; activate preventive scouting and threshold-based control.
Pune,Maharashtra,Western Plateau,Rabi,Chickpea,Wheat,"Wheat (34.1%), Mustard (33.2%), Chickpea (26.0%)",18.5204,73.8567,0.45902678346956216,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Wheat for this district-season profile.
Raipur,Chhattisgarh,Central Plateau,Kharif,Rice,Cotton,"Cotton (42.4%), Soybean (27.5%), Rice (17.8%)",21.2514,81.6296,0.7277019142041756,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Cotton for this district-season profile.
Rajkot,Gujarat,Semi Arid West,Kharif,Rice,Cotton,"Cotton (58.7%), Maize (23.6%), Soybean (8.6%)",22.3039,70.8022,0.8057986759545305,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Cotton for this district-season profile.
Ranchi,Jharkhand,Humid East,Rabi,Chickpea,Wheat,"Wheat (38.4%), Mustard (35.2%), Chickpea (23.6%)",23.3441,85.3096,0.6674132625718938,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Wheat for this district-season profile.
Salem,Tamil Nadu,Southern Plateau,Kharif,Rice,Maize,"Maize (79.4%), Soybean (8.7%), Rice (7.1%)",11.6643,78.146,0.7351217141425825,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Pest pressure is rising; activate preventive scouting and threshold-based control. Better fit detected: consider Maize for this district-season profile.
Sambalpur,Odisha,Humid East,Kharif,Soybean,Maize,"Maize (55.7%), Rice (30.1%), Soybean (5.2%)",21.4669,83.9812,0.7122248426709904,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Maize for this district-season profile.
Shillong,Meghalaya,Humid East,Rabi,Chickpea,Wheat,"Wheat (69.8%), Mustard (14.1%), Chickpea (10.1%)",25.5788,91.8933,0.8642012717847521,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Cold stress is possible; use tolerant varieties or adjust sowing windows. Better fit detected: consider Wheat for this district-season profile.
Shimla,Himachal Pradesh,Himalayan Foothills,Zaid,Millet,Millet,"Millet (48.7%), Groundnut (39.4%), Wheat (5.8%)",31.1048,77.1734,0.6894142601800161,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices.
Silchar,Assam,Humid East,Zaid,Groundnut,Groundnut,"Groundnut (61.0%), Millet (33.8%), Wheat (2.7%)",24.8333,92.7789,0.7898056878617828,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices.
Siliguri,West Bengal,Humid East,Kharif,Cotton,Rice,"Rice (85.5%), Maize (10.9%), Soybean (1.7%)",26.7271,88.3953,0.7603177334453127,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Better fit detected: consider Rice for this district-season profile.
Srinagar,Jammu and Kashmir,Himalayan Foothills,Kharif,Rice,Soybean,"Soybean (44.9%), Maize (24.1%), Wheat (7.0%)",34.0837,74.7973,0.828576599796236,High,High alert: prioritize crop protection and weekly field scouting. Better fit detected: consider Soybean for this district-season profile.
Surat,Gujarat,Coastal Delta,Zaid,Millet,Groundnut,"Groundnut (66.9%), Millet (29.3%), Chickpea (1.1%)",21.1702,72.8311,0.7674056281442588,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Groundnut for this district-season profile.
Thanjavur,Tamil Nadu,Coastal Delta,Kharif,Cotton,Rice,"Rice (92.6%), Maize (3.4%), Soybean (2.1%)",10.787,79.1378,0.6878312376544539,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Pest pressure is rising; activate preventive scouting and threshold-based control.
Thiruvananthapuram,Kerala,Coastal Delta,Kharif,Cotton,Rice,"Rice (90.1%), Maize (6.2%), Soybean (1.2%)",8.5241,76.9366,0.7234189360920715,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Pest pressure is rising; activate preventive scouting and threshold-based control. Better fit detected: consider Rice for this district-season profile.
Tirupati,Andhra Pradesh,Southern Plateau,Kharif,Rice,Maize,"Maize (71.0%), Rice (15.9%), Soybean (6.2%)",13.6288,79.4192,0.6857780990905397,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Maize for this district-season profile.
Udaipur,Rajasthan,Northwest Dryland,Kharif,Rice,Cotton,"Cotton (37.8%), Maize (32.3%), Soybean (19.3%)",24.5854,73.7125,0.7873715179957702,High,High alert: prioritize crop protection and weekly field scouting. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Cotton for this district-season profile.
